offset,entry_multiplier,exit_multiplier,amount,entry_timeout,exit_timeout,prevent_entries,prevent_exits,buys_allowed,sells_allowed,rsiOS,rsiOB,rsiPeriod,trailing_entry,stop_loss,trailing_tp,delay_profit,delay_stop,active_above,active_below,entry_id
140,1,0.2,10,5,9999,FALSE,TRUE,FALSE,TRUE,41,71,43,0,0,0,0,0,0,0,tip3.5
290,1,0.5,10,5,9999,FALSE,TRUE,FALSE,TRUE,41,71,43,0,0,0,0,0,0,0,tip3.6
340,1,2,10,10,9999,FALSE,TRUE,FALSE,TRUE,41,71,43,0,0,0,0,0,0,0,tip3.7
525,1,1.3,10,15,9999,FALSE,TRUE,FALSE,TRUE,41,71,43,0,0,0,0,0,0,0,tip3.8
825,1,1.6,10,999,8888,FALSE,TRUE,FALSE,TRUE,41,71,43,0,0,0,0,0,0,0,tip3.9
47,1,2,5,999,25,FALSE,FALSE,FALSE,TRUE,17,68,9,0,0,0,0,0,0,0,tip1.1
89,1,2,10,999,48,FALSE,FALSE,FALSE,TRUE,17,68,9,0,0,0,0,0,0,0,tip1.2
125,1,10,15,999,9999,FALSE,TRUE,FALSE,TRUE,17,55,43,0,0,0,0,0,0,0,tip1.3
325,1,0.1,15,999,9999,FALSE,TRUE,FALSE,TRUE,22,55,43,0,0,0,0,0,0,0,tip1.4
424,1,0.1,25,999,9999,FALSE,TRUE,FALSE,TRUE,25,55,43,0,0,0,0,0,0,0,tip1.5
525,1,1,25,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,43,0,0,0,0,0,0,0,tip1.6
925,1,0.1,50,999,9999,FALSE,TRUE,FALSE,TRUE,36,55,43,0,0,0,0,0,0,0,tip1.7
1460,1,1,100,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,43,0,0,0,0,0,0,0,tip1.8
2450,1,0.2,250,999,9999,FALSE,TRUE,FALSE,TRUE,36,55,43,0,0,0,0,0,0,0,tip1.9
4525,1,1,500,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,43,0,0,0,0,0,0,0,tip1.10
5758,1,1.4,1000,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,43,0,0,0,0,0,0,0,tip1.11
5,1,25,5,0.01,14,FALSE,FALSE,FALSE,TRUE,24,68,14,0,0,0,0,0,0,0,tip2.7.1
10,1,5,5,0.1,44,FALSE,FALSE,FALSE,TRUE,24,68,14,0,0,0,0,0,0,0,tip2.7.2
15,1,5,10,0.2,16,FALSE,FALSE,FALSE,TRUE,24,64,14,0,0,0,0,0,0,0,tip2.7.3
45,1,3,10,1,25,FALSE,FALSE,FALSE,TRUE,24,64,14,0,0,0,0,0,0,0,tip2.7.4
75,1,0.5,15,0.4,75,FALSE,FALSE,FALSE,TRUE,24,64,14,0,0,0,0,0,0,0,tip2.7.5
115,1,2,15,0.4,25,FALSE,FALSE,FALSE,TRUE,17,68,9,0,0,0,0,0,0,0,tip2.7.6
475,1,10,25,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,43,0,0,0,0,0,0,0,tip2.12.1
550,1,0.1,25,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,43,0,0,0,0,0,0,0,tip2.12.2
750,1,0.1,40,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,43,0,0,0,0,0,0,0,tip2.12.3
1250,1,1,65,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,43,0,0,0,0,0,0,0,tip2.12.4
1650,1,0.1,85,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,43,58,0,0,0,0,0,0,tip2.12.5
2105,1,1,115,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,43,78,0,0,0,0,0,0,tip2.12.6
3250,1,0.2,145,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,43,88,0,0,0,0,0,0,tip2.12.7
5,1,25,5,0.01,14,FALSE,FALSE,FALSE,TRUE,24,68,14,0,0,0,0,0,0,0,tip2.12.8
10,1,5,5,0.1,44,FALSE,FALSE,FALSE,TRUE,24,68,14,0,0,0,0,0,0,0,tip2.12.9
